start	end	text
340	680	Clear
680	1400	skies,
1540	2100	white
2100	2420	walls
2780	3460	Sunsetting
3460	3720	my
3720	4220	review
4220	4660	as
4660	5000	a
5000	5160	night
5160	5480	falls
5960	6200	This
6200	6400	is
6400	6900	nino,
7320	7580	god
7580	7840	gave
7840	8080	it
8080	8220	to
8220	8240	me
8240	8420	like
8420	9100	muckogg
10120	10300	My
10300	10620	life
10620	10780	and
10780	11100	I'm
11100	11200	a
11200	11340	need
11340	11540	my
11540	11860	two
11860	12240	warriors
12540	12980	Okay,
13260	13460	shit,
13700	13780	not
13780	14040	the
14040	14300	day
14300	14600	that
14600	14920	I've
14920	15000	been
