start	end	text
180	500	Building
500	740	your
740	980	online
980	1440	business?
3880	4040	Go
4040	4220	to
4220	5140	wicks.com
5140	5660	and
5660	5820	set
5820	5980	up
5980	6100	your
6100	6440	store
6440	6660	on
6660	6820	a
6820	7120	single
7120	7600	integrated
7600	8040	platform.
9860	10120	Add
10120	10580	products.
11640	12080	Showcase
12080	12340	them
12340	12840	dynamically.
13920	14240	And
14240	14780	seamlessly
14780	15300	track
15300	15540	your
15540	15980	inventory.
16960	17340	Accept
17340	17760	multiple
17760	18100	secure
18100	18580	payments
18580	19440	and
19440	19880	design
19880	20060	your
20060	20700	storefront
20700	21200	down
21200	21420	to
21420	21520	the
21520	22020	very
22020	22580	last
22580	23120	detail.
23940	24180	Get
24180	24340	all
24340	24480	the
24480	24720	tools
24720	24940	you
24940	25320	need.
25700	25940	Drive
25940	26220	more
26220	26540	sales
26540	26800	with
26800	27300	customizable
27300	27660	gift
27660	28080	cards
28400	28680	and
28680	29060	flexible
29060	29560	products
29560	30200	subscriptions.
31040	31340	Retain
31340	31760	customers
31760	32020	with
32020	32200	a
32200	32640	point-based
32640	33080	loyalty
33080	33600	program.
34180	34580	Email
34580	35460	automations
35460	36020	and
36020	36280	reach
36280	36880	millions
36880	37180	with
37180	37560	sales
37560	37860	channel
37860	38640	integrations.
39180	39520	Complete
39520	39720	your
39720	39960	setup
39960	40160	with
40160	40340	a
40340	40880	personalized
40880	41460	analytics
41460	42040	dashboard.
42940	43240	Make
43240	43660	smart
43660	44040	business
44040	44680	decisions
44680	45380	and
45380	45620	shape
45620	45840	the
45840	46140	next
46140	46520	phase
46520	46740	of
46740	46940	your
46940	47440	business.
47940	48340	Build,
48680	48920	manage
48920	49260	and
49260	49680	grow
49680	50100	from
50100	50580	one
50580	51080	place.
51380	51560	Go
51560	51760	to
51760	52180	wicks
52180	52580	and
52580	52860	launch
52860	53200	your
53200	53620	online
53620	54080	business
54080	54520	today.
