start	end	text
280	540	خم
540	660	من
660	840	أي
840	1320	واحدة
1320	1680	معها
1680	2080	المثاح
2080	2460	وربح
2460	2840	عشرت
2840	2980	على
2980	3120	في
3120	3520	دولار
3560	3920	انزاع
3920	4300	سابة
4300	4720	العينين
4720	5080	وبحط
5080	5200	عن
5200	5800	الاحتلفات
5820	6220	الفتات
6220	6400	على
6400	6740	اليومي
6740	7420	المعالمثاح
7440	7640	إذا
7640	7920	بلخ
7920	8500	الفسكار
8740	9040	انه
9040	9260	امام
9260	10060	متطبقةً
10480	11000	عشرت
11000	11220	على
11220	11820	افأيه
11820	12140	مامها
12140	12660	المثاح
12940	13440	او
13440	13640	سا
13640	13880	اختار
13880	14200	الفتات
14200	14380	على
14380	14700	اليومي
16060	16460	داخمين
16460	17160	كصحية
47140	47160	راااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا
47160	77140	ااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا
