start	end	text
140	440	So
440	720	in
720	980	school,
1140	1200	I
1200	1560	studied
1560	2040	electrical
2040	2520	engineering
2520	2760	and
2760	3000	physics
3000	3260	because
3260	3480	I
3480	3720	absolutely
3720	4120	love
4140	4440	both
4440	4580	getting
4580	4780	my
4780	5020	hands
5020	5280	dirty,
5320	5860	tinkering,
6040	6080	but
6080	6360	also
6360	6560	the
6560	6980	theoretical
6980	7340	side
7340	7500	of
7500	7640	it.
7840	7980	So
7980	8380	space
8380	8650	science
8650	9440	instrumentation
9440	9720	was
9720	10120	like
10120	10520	my
10520	10840	dream
10840	11160	job.
11300	11480	So
11480	11680	that
11680	12160	means
12160	12820	making
12820	13100	the
13100	13580	scientific
13580	14080	gadgets
14080	14370	that
14370	14640	ride
14640	14880	on
14880	15100	Earth
15100	15440	orbiting
15440	16040	satellites,
16160	16640	planetary
16640	17240	probes,
17380	17440	and
17440	17560	where
17560	17760	I
17760	18080	love
18080	18260	to
18260	18400	do
18400	18600	my
18600	18820	work
18820	19100	was
19100	19260	at
19260	19300	the
19300	19860	intersection
19860	20160	of
20160	20460	where
20460	20700	the
20700	20860	science
20860	21340	is.
