Guess,0.08,0.36
which,0.36,0.56
twin,0.56,0.78
has,0.78,1.0
the,1.0,1.2
key?,1.2,1.56
Wind,1.82,2.1
10,2.1,2.32
Grand.,2.32,2.66
Take,2.86,3.08
your,3.08,3.24
blindfold,3.24,3.54
off,3.54,3.84
and,3.84,4.08
look,4.08,4.26
for,4.26,4.42
the,4.42,4.52
differences.,4.52,4.94
The,5.24,5.42
one,5.42,5.48
on,5.48,5.66
the,5.66,5.78
right,5.78,5.96
has,5.96,6.24
the,6.24,6.48
key.,6.48,6.84
All,7.26,7.4
"right,",7.4,7.52
go,7.54,7.7
behind,7.7,7.94
the,7.94,8.1
curtain.,8.1,8.36
They,9.02,9.2
look,9.2,9.38
identical.,9.38,9.86
10,10.48,10.76
"Grand,",10.76,11.12
which,11.16,11.56
one,11.56,11.76
has,11.76,12.02
the,12.02,12.22
key?,12.22,12.46
"Oh,",12.62,13.16
I'm,13.46,13.56
gonna,13.56,13.6
go,13.6,13.74
with,13.74,13.9
all,13.9,14.06
the,14.06,14.16
right.,14.16,14.44
You,16.0,16.14
guys,16.14,16.36
correctly!,16.36,16.74
No!,17.38,17.8
Bring,18.08,18.26
out,18.26,18.44
the,18.44,18.58
triplet.,18.58,18.96
Do,20.2,20.4
you,20.4,20.42
want,20.42,20.6
to,20.6,20.7
risk,20.7,20.94
it,20.94,21.2
all,21.2,21.4
in,21.4,21.66
double,21.66,21.92
it,21.92,22.1
for,22.1,22.28
20k?,22.28,22.8
"Yeah,",24.72,24.92
let's,25.06,25.2
do,25.2,25.32
it.,25.32,25.46
Really?,25.58,25.96
She,26.3,26.5
will,26.5,26.64
now,26.64,26.8
have,26.8,26.98
the,26.98,27.12
key?,27.12,27.38
Look,27.54,27.78
for,27.78,27.92
the,27.92,28.04
differences,28.04,28.42
between,28.42,28.78
them.,28.78,29.1
All,29.26,29.54
three,29.54,29.72
look,29.72,29.96
the,29.96,30.12
same.,30.12,30.32
They,30.56,30.76
have,30.76,30.9
now,30.9,31.14
mixed,31.14,31.54
up,31.54,31.84
randomly.,31.84,32.18
With,32.38,32.6
20k,32.6,33.36
dollars,33.36,33.54
on,33.54,33.7
the,33.7,33.8
"line,",33.8,34.3
let's,34.52,34.78
see,34.78,34.9
if,34.9,35.02
you,35.02,35.1
can,35.1,35.28
guess,35.28,35.5
correctly.,35.5,35.86
The,36.68,36.9
far,36.9,37.38
left.,37.38,37.74
The,38.1,38.24
one,38.24,38.34
on,38.34,38.48
the,38.48,38.6
left.,38.6,38.76
She,40.16,40.4
does!,40.4,40.68
I,42.22,42.46
lied,42.46,42.7
about,42.7,42.92
them,42.92,43.08
being,43.08,43.28
triplets.,43.28,43.78
You,44.16,44.36
know,44.36,44.5
where,44.5,44.66
this,44.66,44.84
is,44.84,45.02
going.,45.02,45.26
Do,45.42,45.6
you,45.6,45.62
want,45.62,45.8
to,45.8,45.9
risk,45.9,46.14
it,46.14,46.34
all,46.34,46.46
again,46.46,46.84
for,46.84,47.3
40k,47.3,48.08
dollars?,48.08,48.48
This,48.7,48.9
isn't,48.9,49.2
saying.,49.2,49.4
I'm,50.28,50.5
good.,50.5,50.68
I'm,50.94,51.2
good.,51.2,51.32
You're,51.32,51.64
good.,51.64,51.74
"Good,",51.96,52.18
"congrats,",52.42,52.54
man!,52.64,52.86
Now,53.02,53.22
go,53.22,53.4
watch,53.4,53.6
100,53.6,54.02
identical,54.02,54.46
twins,54.46,54.78
battle,54.78,55.08
for,55.08,55.32
250,55.32,55.98
grand.,55.98,56.34
